LETO,MESEC,TEMPERATURA
1986,1,0.1
1986,2,-2.8
1986,3,3.2
1986,4,10.2
1986,5,17.6
1986,6,17.4
1986,7,19.6
1986,8,20.2
1986,9,14.7
1986,10,10.2
1986,11,5.5
1986,12,-1.5
1987,1,-3.4
1987,2,0.5
1987,3,1.1
1987,4,11.1
1987,5,13.3
1987,6,17.8
1987,7,21.4
1987,8,18.7
1987,9,18.3
1987,10,11.2
1987,11,4.5
1987,12,0.9
1988,1,3.8
1988,2,3.4
1988,3,5.4
1988,4,10.4
1988,5,15.3
1988,6,17.4
1988,7,22
1988,8,20.8
1988,9,15.5
1988,10,11.5
1988,11,0.9
1988,12,-0.1
1989,1,-0.7
1989,2,4.1
1989,3,8.5
1989,4,10.6
1989,5,14.9
1989,6,16.5
1989,7,20.2
1989,8,19.7
1989,9,15.5
1989,10,10.2
1989,11,3.5
1989,12,2.4
1990,1,-0.5
1990,2,5.7
1990,3,8.8
1990,4,9.1
1990,5,16.2
1990,6,17.7
1990,7,20.2
1990,8,20
1990,9,14.1
1990,10,11.3
1990,11,5.1
1990,12,0.4
1991,1,0.7
1991,2,-1.4
1991,3,8.4
1991,4,9.4
1991,5,12.1
1991,6,18.2
1991,7,21.8
1991,8,20.6
1991,9,17.5
1991,10,9.2
1991,11,5.1
1991,12,-2.2
1992,1,0.6
1992,2,3.4
1992,3,6.3
1992,4,10.8
1992,5,16.1
1992,6,18.5
1992,7,21.2
1992,8,23.7
1992,9,16.3
1992,10,9.6
1992,11,6.6
1992,12,0.5
1993,1,0.9
1993,2,1
1993,3,5.8
1993,4,11.2
1993,5,17
1993,6,19.2
1993,7,20.4
1993,8,20.9
1993,9,14.9
1993,10,11.4
1993,11,2.5
1993,12,1.9
1994,1,3.5
1994,2,2.6
1994,3,10.6
1994,4,10.1
1994,5,15.3
1994,6,19.3
1994,7,22.5
1994,8,22.1
1994,9,17.1
1994,10,8.9
1994,11,7.7
1994,12,2.2
1995,1,1
1995,2,4.5
1995,3,5.1
1995,4,11.3
1995,5,15.1
1995,6,17
1995,7,22.8
1995,8,19.1
1995,9,14.3
1995,10,12.3
1995,11,5.3
1995,12,1.3
1996,1,-0.8
1996,2,-0.9
1996,3,3.4
1996,4,10.6
1996,5,16
1996,6,19.7
1996,7,19.1
1996,8,19.5
1996,9,13.2
1996,10,11
1996,11,7.5
1996,12,-1
1997,1,-0.5
1997,2,4.1
1997,3,7.5
1997,4,8.5
1997,5,16.3
1997,6,19
1997,7,20.1
1997,8,20.2
1997,9,16.6
1997,10,9.6
1997,11,5.3
1997,12,2.6
1998,1,3.2
1998,2,5.3
1998,3,5.8
1998,4,11
1998,5,15.8
1998,6,20.7
1998,7,21.5
1998,8,21.6
1998,9,15.6
1998,10,11.4
1998,11,3.4
1998,12,-3.1
1999,1,0.6
1999,2,0.8
1999,3,7.8
1999,4,11.6
1999,5,16.7
1999,6,19.1
1999,7,20.9
1999,8,20.5
1999,9,18.1
1999,10,11.8
1999,11,3.1
1999,12,0.7
2000,1,-1.6
2000,2,4
2000,3,7.6
2000,4,13.6
2000,5,17
2000,6,20.9
2000,7,19.9
2000,8,22.1
2000,9,16.4
2000,10,12.9
2000,11,8.4
2000,12,4.9
2001,1,3.4
2001,2,4.7
2001,3,8.8
2001,4,10.1
2001,5,17.2
2001,6,18.4
2001,7,21.9
2001,8,22.9
2001,9,13.8
2001,10,14
2001,11,3.6
2001,12,-2.1
2002,1,-0.6
2002,2,5
2002,3,8.9
2002,4,10.1
2002,5,17.3
2002,6,21.1
2002,7,21.3
2002,8,20.1
2002,9,15
2002,10,11.5
2002,11,9.4
2002,12,2.6
2003,1,-1.1
2003,2,-0.9
2003,3,7.4
2003,4,10.3
2003,5,18.3
2003,6,23.5
2003,7,22.6
2003,8,24.2
2003,9,15.5
2003,10,8.8
2003,11,8.2
2003,12,2.1
2004,1,-0.3
2004,2,2.2
2004,3,5
2004,4,10.7
2004,5,14
2004,6,18.8
2004,7,20.9
2004,8,20.7
2004,9,15.6
2004,10,13
2004,11,5.9
2004,12,1.5
2005,1,0.1
